naics2c,year,export_value_usd
11,2017,79230432234
11,2018,77686382969
11,2019,73782535832
11,2020,81068431043
11,2021,96785575796
11,2022,107802296836
11,2023,89468601974
21,2017,63464847226
21,2018,97665447155
21,2019,114402699399
21,2020,97319347146
21,2021,157727859039
21,2022,244488442742
21,2023,212573273098
31-33,2017,1323826951944
31-33,2018,1399751416044
31-33,2019,1368612912525
31-33,2020,1172709838120
31-33,2021,1402711578124
31-33,2022,1608105411058
31-33,2023,1602767938557
99,2017,42788214702
99,2018,46792332532
99,2019,47520879892
99,2020,41652150524
99,2021,50193290335
99,2022,60231751773
99,2023,65641117764
