naics2c,year,us_sector_emp
11,2017,164046
21,2017,578098
22,2017,644703
23,2017,6533061
31-33,2017,11721785
42,2017,6115476
44-45,2017,15705808
48-49,2017,4866282
51,2017,3507966
52,2017,6408168
53,2017,2148006
54,2017,8905549
55,2017,3462498
56,2017,11897056
61,2017,3688541
62,2017,20241438
71,2017,2368928
72,2017,14088211
81,2017,5534978
99,2017,11214
11,2018,163996
21,2018,605698
22,2018,646930
23,2018,6814979
31-33,2018,11912665
42,2018,6163815
44-45,2018,15683147
48-49,2018,5031836
51,2018,3600900
52,2018,6499208
53,2018,2209646
54,2018,9111666
55,2018,3528948
56,2018,12287806
61,2018,3731157
62,2018,20498753
71,2018,2435562
72,2018,14345140
81,2018,5595744
99,2018,13875
11,2019,164567
21,2019,626740
22,2019,641700
23,2019,7043901
31-33,2019,12109803
42,2019,6181224
44-45,2019,15693290
48-49,2019,5408372
51,2019,3572352
52,2019,6553166
53,2019,2240148
54,2019,9284491
55,2019,3523278
56,2019,12642017
61,2019,3808801
62,2019,20864810
71,2019,2504413
72,2019,14492377
81,2019,5619240
99,2019,14738
11,2020,167204
21,2020,577921
22,2020,637058
23,2020,7182071
31-33,2020,11999822
42,2020,6145378
44-45,2020,15808465
48-49,2020,5711910
51,2020,3577460
52,2020,6682343
53,2020,2280633
54,2020,9554479
55,2020,3571149
56,2020,12718021
61,2020,3832033
62,2020,21216569
71,2020,2504959
72,2020,14377016
81,2020,5601688
99,2020,17170
11,2021,165688
21,2021,474877
22,2021,633738
23,2021,7062022
31-33,2021,11710424
42,2021,5925945
44-45,2021,15530630
48-49,2021,5693641
51,2021,3414629
52,2021,6738309
53,2021,2180602
54,2021,9531475
55,2021,3484154
56,2021,12509600
61,2021,3488028
62,2021,20681593
71,2021,1858669
72,2021,12142327
81,2021,5105104
99,2021,14844
11,2022,168634
21,2022,508023
22,2022,645214
23,2022,7361847
31-33,2022,12188330
42,2022,6143230
44-45,2022,15922438
48-49,2022,6108121
51,2022,3634012
52,2022,6831897
53,2022,2333125
54,2022,10152104
55,2022,3661977
56,2022,13578709
61,2022,3743840
62,2022,21171232
71,2022,2318357
72,2022,13793478
81,2022,5471987
99,2022,11852
11,2023,161334
21,2023,553036
22,2023,667277
23,2023,7659459
31-33,2023,12335234
42,2023,6236357
44-45,2023,16046207
48-49,2023,6548924
51,2023,3809059
52,2023,6991623
53,2023,2391886
54,2023,10401442
55,2023,3855720
56,2023,13454862
61,2023,3926820
62,2023,22063238
71,2023,2491408
72,2023,14608170
81,2023,5616494
99,2023,13192
