exposure_decile,n_counties,avg_exposure,avg_gop_20,avg_swing_20,avg_tariffed_emp_share
1,324,541358.1210928133,0.7231811985040902,0.46768595204209296,0.02548457691281877
2,324,4590299.244813436,0.71302062052598425,0.4972266135855772,0.10391389868410905
3,324,11402646.27089557,0.6984855268902654,0.5341062034607112,0.15231504937621
4,324,21697230.38074571,0.674439084219501,0.5792917453802866,0.19810263546612564
5,324,35992704.94749693,0.6691768662749131,0.5925919893399283,0.22379490948655478
6,324,53916516.82441912,0.6641339894838417,0.6090402940251558,0.23813654392075062
7,324,80952921.93503925,0.6600833210873177,0.6140986390015517,0.24777122447800676
8,323,124031919.52165276,0.6388511531826379,0.6509262195456368,0.2410415549844959
9,323,214934742.7544635,0.5826622776183819,0.7091048952149984,0.21331476698689475
10,323,783954489.2025218,0.4866380116249792,0.7561756948645562,0.1639710998515042
