hs8_raw,hs8,hs6,desc,n_rows
97012200,97012200,970122,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques: --Mosaics",1
97012900,97012900,970129,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques: --Other",1
97019110,97019110,970191,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques. Other: Paintings, drawings and pastelsOriginals by artists Note: The General Tariff rate that applies to goods of this tariff item is the Most-Favoured-Nation Tariff rate.",1
97019200,97019200,970192,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques: --Mosaics",1
97019900,97019900,970199,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading 49.06 and other than hand-painted or hand-decorated manufactured articles; collages, mosaics and similar decorative plaques: --Other",1
97021000,97021000,970210,"Original engravings, prints and lithographs: -Of an age exceeding 100 years",1
97029000,97029000,970290,"Original engravings, prints and lithographs: -Other",1
97031000,97031000,970310,"Original sculptures and statuary, in any material: -Of an age exceeding 100 years",1
97039000,97039000,970390,"Original sculptures and statuary, in any material: -Other",1
97040010,97040010,970400,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery (stamped paper), and the like, used or unused, other than those of heading 4907: ---Postage",1
97051000,97051000,970510,"Collections and collectors pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological, or numismatic interest: -Collections and collectors' pieces of archaeological, ethnographic or historical interest",1
97052100,97052100,970521,"Collections and collectors pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological, or numismatic interest: --Human specimens and parts thereof",1
97052200,97052200,970522,"Collections and collectors pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological, or numismatic interest: --Extinct or endangered species and parts thereof",1
97052900,97052900,970529,"Collections and collectors pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological, or numismatic interest: --Other",1
97053100,97053100,970531,"Collections and collectors pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological, or numismatic interest: --Of an age exceeding 100 years",1
97053900,97053900,970539,"Collections and collectors pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological, or numismatic interest: --Other",1
97061000,97061000,970610,Antiques of an age exceeding one hundred years: -Of an age exceeding 250 years,1
97069000,97069000,970690,Antiques of an age exceeding one hundred years: -Other,1
