model,term,estimate,std_error,statistic,p_value,ci_low,ci_high
latest_hc1,(Intercept),6.822410247860171,0.2924195734064785,23.330894605938926,4.932561950616239e-111,6.249053976556064,7.395766519164278
latest_hc1,gop_share_20,-2.247492903207366,0.2934053490318531,-7.660027026171805,2.4700336597587538e-14,-2.822782015840537,-1.672203790574195
latest_hc1,swingness_20,1.351320695877324,0.2054340138728313,6.577881969992684,5.582368582108639e-11,0.94851975194245,1.7541216398121982
latest_hc1,tariffed_emp_share,6.094495554597103,0.31443770281198563,19.382203533783084,4.468425893466379e-79,5.477967643207588,6.711023465986617
latest_statefe_cluster,gop_share_20,-2.062212515460668,0.5191130043999367,-3.9725695522585904,2.3774851386700768e-4,-3.105959165241922,-1.0184658656794146
latest_statefe_cluster,swingness_20,1.3008099041669205,0.3133079426244638,4.151857413094992,1.3435987593693422e-4,0.670862064886435,1.9307577434474061
latest_statefe_cluster,tariffed_emp_share,5.827558852572173,0.7315534508935073,7.966005553598973,2.4786413272749314e-10,4.356672057145735,7.29844564799861
panel_statefe_cluster,gop_share_20,-2.234692846533228,0.5086052798979425,-4.393766511786202,6.129008250345553e-5,-3.257312300207232,-1.2120733928592238
panel_statefe_cluster,swingness_20,1.3692691334715914,0.30886563363876357,4.4332194467223625,5.384568661545715e-5,0.7482531550418612,1.9902851119013216
panel_statefe_cluster,tariffed_emp_share,6.1486218237180585,0.753358524373386,8.16161445685139,1.2563532682587956e-10,4.633892989660427,7.66335065777569
panel_statefe_cluster,year::2018,0.1249655373137474,0.017327953792365194,7.211788466841827,3.4842146181254195e-9,0.09012535114031132,0.15980572348718347
panel_statefe_cluster,year::2019,0.1005469419938348,0.01827269416394156,5.5025789350893435,1.4283835459304994e-6,0.06380722799237645,0.13728665599529316
panel_statefe_cluster,year::2020,0.057957133032859806,0.02180316074494355,2.6581986763685563,0.010640394309094327,0.014118940213008066,0.10179532585271155
panel_statefe_cluster,year::2021,0.1693775961150416,0.02889032825924199,5.8627785255731,4.059687336155471e-7,0.1112896979578361,0.2274654942722471
panel_statefe_cluster,year::2022,0.22771720465623596,0.030020621170036538,7.585359522257973,9.371659011411708e-10,0.16735670028629065,0.28807770902618124
panel_statefe_cluster,year::2023,0.2192680653998808,0.027474069245344596,7.980909687669771,2.3533393144859833e-10,0.164027746841816,0.2745083839579456
shift_hc1,(Intercept),0.013049305120102855,0.004067665022887365,3.208057951350188,0.0013499997179317505,0.005073705132943914,0.021024905107261797
shift_hc1,log_exposure_per_worker,-0.0035760497036830836,8.495600660703579e-4,-4.209295900905642,2.634673449486712e-5,-0.005241809104694881,-0.001910290302671286
shift_hc1,tariffed_emp_share,0.04152932901942054,0.004760758343439055,8.723259200218251,4.337337504828988e-18,0.032194758948100595,0.05086389909074048
shift_hc1,gop_share_16,0.00880870371604986,0.00416993889811293,2.1124299255406744,0.03472958561914626,6.325720938260646e-4,0.016984835338273656
