naics2c,year,allocated_exports_sum,us_exports,allocation_ratio
11,2017,71620164865.63297,79230432234,0.9039476732136108
11,2018,74628591302.9539,77686382969,0.9606392838849728
11,2019,70610505953.52254,73782535832,0.9570083917188743
11,2020,77822862292.2414,81068431043,0.9599650726059186
11,2021,93175568683.72102,96785575796,0.962700980155473
11,2022,103624042082.39102,107802296836,0.961241505271772
11,2023,85386521450.79588,89468601974,0.9543741554786964
21,2017,48412615246.02972,63464847226,0.7628256800750045
21,2018,81216577264.10411,97665447155,0.8315794339753475
21,2019,95779084803.50302,114402699399,0.8372100073395666
21,2020,80910880961.33766,97319347146,0.831395640580633
21,2021,131549877771.9376,157727859039,0.8340307068988391
21,2022,204993796747.49783,244488442742,0.8384600697212528
21,2023,180242713881.56747,212573273098,0.847908635242552
22,2017,0,0,NA
22,2018,0,0,NA
22,2019,0,0,NA
22,2020,0,0,NA
22,2021,0,0,NA
22,2022,0,0,NA
22,2023,0,0,NA
23,2017,0,0,NA
23,2018,0,0,NA
23,2019,0,0,NA
23,2020,0,0,NA
23,2021,0,0,NA
23,2022,0,0,NA
23,2023,0,0,NA
31-33,2017,1323045764520.1907,1323826951944,0.9994099021608057
31-33,2018,1407676631225.4338,1399751416044,1.0056618733087852
31-33,2019,1376295578260.159,1368612912525,1.0056134686914395
31-33,2020,1179200687903.293,1172709838120,1.005534915434579
31-33,2021,1410976136951.609,1402711578124,1.0058918447359377
31-33,2022,1617179851441.6907,1608105411058,1.0056429387783232
31-33,2023,1611985076169.259,1602767938557,1.0057507624095334
42,2017,0,0,NA
42,2018,0,0,NA
42,2019,0,0,NA
42,2020,0,0,NA
42,2021,0,0,NA
42,2022,0,0,NA
42,2023,0,0,NA
44-45,2017,0,0,NA
44-45,2018,0,0,NA
44-45,2019,0,0,NA
44-45,2020,0,0,NA
44-45,2021,0,0,NA
44-45,2022,0,0,NA
44-45,2023,0,0,NA
48-49,2017,0,0,NA
48-49,2018,0,0,NA
48-49,2019,0,0,NA
48-49,2020,0,0,NA
48-49,2021,0,0,NA
48-49,2022,0,0,NA
48-49,2023,0,0,NA
51,2017,0,0,NA
51,2018,0,0,NA
51,2019,0,0,NA
51,2020,0,0,NA
51,2021,0,0,NA
51,2022,0,0,NA
51,2023,0,0,NA
52,2017,0,0,NA
52,2018,0,0,NA
52,2019,0,0,NA
52,2020,0,0,NA
52,2021,0,0,NA
52,2022,0,0,NA
52,2023,0,0,NA
53,2017,0,0,NA
53,2018,0,0,NA
53,2019,0,0,NA
53,2020,0,0,NA
53,2021,0,0,NA
53,2022,0,0,NA
53,2023,0,0,NA
54,2017,0,0,NA
54,2018,0,0,NA
54,2019,0,0,NA
54,2020,0,0,NA
54,2021,0,0,NA
54,2022,0,0,NA
54,2023,0,0,NA
55,2017,0,0,NA
55,2018,0,0,NA
55,2019,0,0,NA
55,2020,0,0,NA
55,2021,0,0,NA
55,2022,0,0,NA
55,2023,0,0,NA
56,2017,0,0,NA
56,2018,0,0,NA
56,2019,0,0,NA
56,2020,0,0,NA
56,2021,0,0,NA
56,2022,0,0,NA
56,2023,0,0,NA
61,2017,0,0,NA
61,2018,0,0,NA
61,2019,0,0,NA
61,2020,0,0,NA
61,2021,0,0,NA
61,2022,0,0,NA
61,2023,0,0,NA
62,2017,0,0,NA
62,2018,0,0,NA
62,2019,0,0,NA
62,2020,0,0,NA
62,2021,0,0,NA
62,2022,0,0,NA
62,2023,0,0,NA
71,2017,0,0,NA
71,2018,0,0,NA
71,2019,0,0,NA
71,2020,0,0,NA
71,2021,0,0,NA
71,2022,0,0,NA
71,2023,0,0,NA
72,2017,0,0,NA
72,2018,0,0,NA
72,2019,0,0,NA
72,2020,0,0,NA
72,2021,0,0,NA
72,2022,0,0,NA
72,2023,0,0,NA
81,2017,0,0,NA
81,2018,0,0,NA
81,2019,0,0,NA
81,2020,0,0,NA
81,2021,0,0,NA
81,2022,0,0,NA
81,2023,0,0,NA
99,2017,37438733962.54896,42788214702,0.8749777064383806
99,2018,43423284589.696,46792332532,0.9279999999999999
99,2019,43999859343.61732,47520879892,0.925905821685439
99,2020,39687197587.22423,41652150524,0.9528246942341293
99,2021,47122992057.973595,50193290335,0.9388305039073027
99,2022,55337794891.68047,60231751773,0.9187478906513669
99,2023,60555821951.77987,65641117764,0.9225288053365677
